Onderdeel,Essentie,Prijs,Korting(%)
Motor,Essentieel,550.00,0
Dek,Essentieel,455.00,0
Stuurwiel,Essentieel,350.00,0
Romp,Essentieel,400.00,0
Zeil,Essentieel,280.00,0
Brandstoftank,Essentieel,150.00,0
Verlichting,Essentieel,175.00,0
Anker,Essentieel,200.00,0
Veiligheidsuitrusting,Essentieel,180.00,0
Propeller,Essentieel,534.00,0
GPS-navigatie,Extra,125.00,0
Radar,Extra,320.00,0
Sonar,Extra,670.00,0
Radio,Extra,210.00,0
Kompas,Extra,50.00,0
Windmeter,Extra,120.00,0
Wierfilter,Extra,215.00,0
Boeganker,Extra,275.00,0
Ankerlier,Extra,432.00,0
Radarreflector,Extra,635.00,0
